set,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
target,p,p,p,t,t,t,k,k,k,f,f,f,theta,theta,theta,s,s,s,sh,sh,sh,b,b,b,d,d,d,g,g,g,v,v,v,eth,eth,eth,z,z,z,zh,zh,zh,m,m,m,n,n,n,p,p,t,t,k,k,f,f,theta,theta,s,s,sh,sh,b,b,d,d,g,g,v,v,eth,z,zh,m,n
H_sound,b,d,v,g,eth,z,n,g,z,sh,g,n,d,m,n,zh,eth,n,f,p,m,n,zh,p,b,theta,n,s,theta,m,m,n,s,f,theta,s,p,s,sh,s,sh,b,p,theta,z,b,g,zh,b,d,g,eth,n,g,sh,g,d,m,zh,eth,f,p,n,zh,b,theta,s,theta,m,n,f,p,s,p,b
L_sound,k,t,theta,p,k,theta,p,t,f,theta,p,s,f,s,p,theta,sh,f,s,theta,t,v,eth,z,g,zh,eth,v,d,zh,eth,z,d,z,v,zh,zh,eth,v,z,d,g,n,b,s,m,z,d,k,t,p,k,p,t,theta,p,f,s,theta,sh,s,theta,v,eth,g,zh,v,d,eth,z,z,zh,z,n,m
target_talker,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04
H_talker,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09
L_talker,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T01
target_file,T01_apa.wav,T02_apa.wav,T03_apa.wav,T04_ata.wav,T05_ata.wav,T06_ata.wav,T07_aka.wav,T08_aka.wav,T09_aka.wav,T10_afa.wav,T11_afa.wav,T12_afa.wav,T01_athetaa.wav,T02_athetaa.wav,T03_athetaa.wav,T04_asa.wav,T05_asa.wav,T06_asa.wav,T07_asha.wav,T08_asha.wav,T09_asha.wav,T10_aba.wav,T11_aba.wav,T12_aba.wav,T01_ada.wav,T02_ada.wav,T03_ada.wav,T04_aga.wav,T05_aga.wav,T06_aga.wav,T07_ava.wav,T08_ava.wav,T09_ava.wav,T10_aetha.wav,T11_aetha.wav,T12_aetha.wav,T01_aza.wav,T02_aza.wav,T03_aza.wav,T04_azha.wav,T05_azha.wav,T06_azha.wav,T07_ama.wav,T08_ama.wav,T09_ama.wav,T10_ana.wav,T11_ana.wav,T12_ana.wav,T02_apa.wav,T03_apa.wav,T04_ata.wav,T05_ata.wav,T06_aka.wav,T07_aka.wav,T08_afa.wav,T09_afa.wav,T10_athetaa.wav,T11_athetaa.wav,T12_asa.wav,T01_asa.wav,T02_asha.wav,T03_asha.wav,T04_aba.wav,T05_aba.wav,T06_ada.wav,T07_ada.wav,T08_aga.wav,T09_aga.wav,T10_ava.wav,T11_ava.wav,T12_aetha.wav,T01_aza.wav,T02_azha.wav,T03_ama.wav,T04_ana.wav
H_file,T05_aba.wav,T06_ada.wav,T07_ava.wav,T08_aga.wav,T09_aetha.wav,T10_aza.wav,T11_ana.wav,T12_aga.wav,T01_aza.wav,T02_asha.wav,T03_aga.wav,T04_ana.wav,T05_ada.wav,T06_ama.wav,T07_ana.wav,T08_azha.wav,T09_aetha.wav,T10_ana.wav,T11_afa.wav,T12_apa.wav,T01_ama.wav,T02_ana.wav,T03_azha.wav,T04_apa.wav,T05_aba.wav,T06_athetaa.wav,T07_ana.wav,T08_asa.wav,T09_athetaa.wav,T10_ama.wav,T11_ama.wav,T12_ana.wav,T01_asa.wav,T02_afa.wav,T03_athetaa.wav,T04_asa.wav,T05_apa.wav,T06_asa.wav,T07_asha.wav,T08_asa.wav,T09_asha.wav,T10_aba.wav,T11_apa.wav,T12_athetaa.wav,T01_aza.wav,T02_aba.wav,T03_aga.wav,T04_azha.wav,T07_aba.wav,T08_ada.wav,T09_aga.wav,T10_aetha.wav,T11_ana.wav,T12_aga.wav,T01_asha.wav,T02_aga.wav,T03_ada.wav,T04_ama.wav,T05_azha.wav,T06_aetha.wav,T07_afa.wav,T08_apa.wav,T09_ana.wav,T10_azha.wav,T11_aba.wav,T12_athetaa.wav,T01_asa.wav,T02_athetaa.wav,T03_ama.wav,T04_ana.wav,T05_afa.wav,T06_apa.wav,T07_asa.wav,T08_apa.wav,T09_aba.wav
L_file,T09_aka.wav,T10_ata.wav,T11_athetaa.wav,T12_apa.wav,T01_aka.wav,T02_athetaa.wav,T03_apa.wav,T04_ata.wav,T05_afa.wav,T06_athetaa.wav,T07_apa.wav,T08_asa.wav,T09_afa.wav,T10_asa.wav,T11_apa.wav,T12_athetaa.wav,T01_asha.wav,T02_afa.wav,T03_asa.wav,T04_athetaa.wav,T05_ata.wav,T06_ava.wav,T07_aetha.wav,T08_aza.wav,T09_aga.wav,T10_azha.wav,T11_aetha.wav,T12_ava.wav,T01_ada.wav,T02_azha.wav,T03_aetha.wav,T04_aza.wav,T05_ada.wav,T06_aza.wav,T07_ava.wav,T08_azha.wav,T09_azha.wav,T10_aetha.wav,T11_ava.wav,T12_aza.wav,T01_ada.wav,T02_aga.wav,T03_ana.wav,T04_aba.wav,T05_asa.wav,T06_ama.wav,T07_aza.wav,T08_ada.wav,T11_aka.wav,T12_ata.wav,T01_apa.wav,T02_aka.wav,T03_apa.wav,T04_ata.wav,T05_athetaa.wav,T06_apa.wav,T07_afa.wav,T08_asa.wav,T09_athetaa.wav,T10_asha.wav,T11_asa.wav,T12_athetaa.wav,T01_ava.wav,T02_aetha.wav,T03_aga.wav,T04_azha.wav,T05_ava.wav,T06_ada.wav,T07_aetha.wav,T08_aza.wav,T09_aza.wav,T10_azha.wav,T11_aza.wav,T12_ana.wav,T01_ama.wav
