trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE
1,#B25F16,#CDA07A,#BF5F00,36.8,12.55,#D76467,#A91B1A,#C95243,28.99,14.06
2,#0069BD,#004294,#4868C3,16.24,13.18,#0099CE,#009ED6,#009CE8,24.11,14.72
3,#5E59B6,#08408D,#6446AF,18.43,11.79,#8A8E37,#726C00,#7A9B50,31.25,14.71
4,#E75C9B,#F30071,#D13670,27.24,14.99,#007D7D,#003C46,#00878B,27.3,6.26
5,#9883D4,#B190C0,#6D70C1,19.44,11.51,#BE6942,#D5A384,#D47335,27.46,14.23
6,#B83468,#AB007D,#B41B5F,25.36,6.63,#198548,#7B994D,#117D4F,25.5,8.73
7,#667CC3,#B6B1CA,#2E6CB1,34.62,11.54,#00839E,#0070A3,#00A4C8,18.1,13.24
8,#0094D6,#0089B2,#0098E6,18.6,7.91,#B03B56,#F9855D,#B02B44,39.99,9.33
9,#BE5EA3,#8659C4,#D564BC,30.95,10.96,#BF7827,#CFA500,#A56A02,30.5,9.1
10,#4B64C2,#766AEF,#4650A0,24.42,10.86,#A77A1C,#872E00,#C3972F,35.75,11.64
11,#934582,#B6416E,#A72F7B,21.8,14.59,#165DB1,#1E257E,#3A458B,27.0,14.42
12,#007673,#006449,#00554E,17.92,13.89,#289E7E,#00CFBF,#36AD9C,22.75,11.11
13,#8D68AD,#AA757D,#8F5897,36.39,8.88,#D2718E,#C73B70,#E77A90,21.48,8.47
14,#A4337C,#642D6D,#AC1373,24.39,10.35,#0088D0,#00BAFF,#007EBE,22.32,7.75
15,#0061B2,#4D87AB,#004CAB,32.33,14.58,#AC4A63,#954D25,#B65B65,34.78,9.18
16,#575CAB,#B1AEEC,#3A468B,33.96,10.99,#AC8846,#5E5D15,#CF9459,25.44,12.46
17,#9B8131,#464900,#A28527,28.72,6.2,#7E5EBC,#97468E,#8569D0,23.22,6.46
18,#00715D,#00A996,#005A53,25.36,11.85,#00A5AD,#0080C0,#0098A3,37.58,13.66
19,#BF5B6C,#BD736D,#C94F6F,15.29,10.12,#009182,#00E1BA,#008683,30.7,9.85
20,#B73765,#B46867,#C83D69,28.34,6.34,#669930,#9B966B,#5D9500,38.21,13.35
21,#C2467C,#80356F,#BA3387,24.73,13.84,#C461B6,#684AA7,#B84DBC,29.74,14.41
22,#2D6F2B,#008E37,#0C7A48,21.32,12.99,#7C84DF,#EFD6FF,#9893E2,34.38,10.18
23,#5F9347,#004B24,#598448,36.68,10.02,#9A5BA7,#4263D7,#BA65B8,35.03,10.09
24,#006DA7,#004279,#0065A1,30.17,6.66,#7E5913,#304D00,#6C5217,33.91,8.47
25,#0092E6,#00BEFF,#0092DA,22.01,12.54,#928236,#B68253,#AAA65F,20.87,14.73
26,#B2516F,#D27D89,#A65A6F,17.12,8.66,#0078C7,#008297,#0070AB,35.52,11.54
27,#319943,#617F11,#5AAE41,26.66,13.36,#A94255,#DD7E98,#8C2237,23.11,11.62
28,#806E00,#203800,#7E7A19,35.18,8.52,#008CD4,#0085E2,#0074B5,17.53,9.99
29,#A43D49,#A40041,#9A1440,31.45,13.84,#75883A,#102C00,#648930,39.83,8.83
30,#006DB1,#8DA8E4,#005993,34.59,10.16,#58974D,#497035,#65B670,16.95,12.52
31,#00A48A,#00605B,#008E80,36.5,10.38,#D56C94,#F83BA8,#E986BB,34.3,12.69
32,#0087A1,#0095AB,#10879D,31.75,10.84,#AB3469,#6B0025,#C3587B,25.57,12.97
33,#0098AC,#00C5C8,#00778C,18.94,12.56,#6C6FD6,#494A93,#7158B7,21.49,11.66
34,#B6425C,#A73D38,#B23057,17.31,6.72,#748B26,#756D05,#8F9A33,17.97,8.57
35,#A28F1B,#A8AA00,#A08529,21.05,9.36,#0DA074,#59BD66,#00B573,25.02,14.9
36,#B34632,#DA6936,#8A3214,19.23,13.75,#7069C4,#E796FC,#8C76CD,33.25,8.03
37,#6F58B9,#A6B7FF,#615DC5,38.95,6.38,#366E24,#6E8A52,#44661D,19.68,8.68
38,#63982E,#3EAF45,#74911E,19.26,10.53,#3C7FD9,#006FDA,#0090E9,19.02,9.68
39,#7B7518,#3E3500,#A28E33,26.83,12.15,#007FAB,#002B4D,#007DB6,34.95,9.14
40,#007BC4,#31BCEC,#007CCF,29.81,8.39,#009C83,#2CF8DF,#008166,32.26,12.82
41,#BB843A,#FFA24C,#D0925A,39.73,10.8,#0064BB,#3293FC,#567EDA,19.95,14.43
42,#008CD1,#7C9AFF,#0081D0,39.09,7.66,#00709A,#00518A,#006898,18.04,7.73
43,#0C7B3D,#009A5D,#368140,24.16,6.73,#5360BD,#001D67,#6F65C6,33.22,7.27
44,#0079CA,#004E74,#368AD6,34.18,7.95,#9F3B73,#830076,#874371,25.93,13.1
45,#3C7123,#0E6847,#306016,25.26,7.0,#D0457E,#FFA3FA,#A4195D,39.66,14.51
46,#9B4D10,#971929,#814600,32.11,11.56,#2A86C7,#00BBF9,#3173AD,24.27,8.52
47,#6456B4,#2C3AC0,#8C57C2,28.12,14.02,#008DB1,#009BA0,#0083AB,21.02,6.82
48,#C7484B,#840D00,#B92F3C,32.15,7.65,#006DD0,#95A5F3,#3482E4,29.54,8.69
49,#0068BD,#779EFF,#006FB2,38.85,13.14,#C46C96,#DA9899,#E4679D,25.84,14.63
50,#6D7600,#9B823C,#808900,25.22,8.13,#4E6CCC,#405CDA,#5F5FBB,20.28,8.24
51,#8A6126,#E17E50,#9D7D2E,30.55,13.7,#A33A7A,#790042,#A75481,21.74,11.92
52,#00A478,#007341,#009064,19.38,9.38,#006BB4,#002C4B,#006FAC,35.6,9.51
53,#5C69B1,#043B92,#5C86DE,23.1,14.29,#AC4297,#B047BF,#BD3C9C,19.41,8.29
54,#9F5C37,#3C3925,#9E6E3B,39.99,11.44,#00A2B6,#90F6FA,#00A5B7,38.35,7.89
55,#0069A2,#00A4FF,#0089C4,31.71,12.52,#775B03,#975400,#705A00,27.95,11.0
56,#5978C3,#005CD2,#3C90D8,29.24,14.19,#C76563,#6F4D12,#D45A5F,39.8,10.28
57,#0099A9,#34EBFF,#00BFD6,30.74,14.39,#887B1D,#133C00,#7C6B0E,38.77,6.42
58,#8F80C8,#0050AF,#8681B3,31.26,13.25,#288D61,#627D83,#3D7F42,38.42,13.13
59,#879325,#E3B14A,#7D8E00,31.47,8.25,#009AE8,#00C0FF,#00A1DC,17.62,14.34
60,#0088A7,#006487,#008A9E,28.01,8.22,#B25E48,#BEA069,#A24948,33.72,12.22
61,#706117,#193015,#73791D,38.15,14.83,#458449,#006744,#4DA173,17.74,14.1
62,#BD3B42,#FF1D38,#B83B4F,36.5,9.02,#3C67CB,#0067DA,#467ED3,25.95,14.7
63,#008CC1,#57B1F3,#0084CA,21.39,11.11,#8983E1,#5A82FB,#9581D3,17.83,7.35
64,#895BA0,#C398DD,#A04FA3,23.12,14.28,#A58C44,#89673F,#AB822F,20.44,10.63
65,#94492B,#A63E5E,#97613A,32.97,12.35,#A17ACB,#997F8A,#8173D6,39.58,13.41
66,#977C24,#C9A248,#99763A,15.94,12.93,#6B56A2,#002F61,#7158BD,30.7,14.35
67,#7C7A25,#C1CE74,#957C1F,31.1,12.37,#CC4D6A,#EA7E9B,#D23C53,18.18,13.12
68,#4D7D20,#003100,#50782A,34.87,7.45,#34A35C,#005D00,#158B44,36.95,8.81
69,#CE548F,#F135A4,#D86A92,24.64,10.67,#0076B6,#005186,#007EC8,16.11,7.02
70,#00808E,#006091,#0091A4,28.46,8.39,#5D9240,#158632,#328830,16.38,12.1
71,#AC811B,#E69C58,#CAA33C,21.61,12.56,#8E538D,#6A589C,#8A416F,16.73,11.53
72,#C86275,#AA86A2,#E5788E,30.51,9.23,#008F88,#3D8185,#00827A,36.19,12.66
73,#CA7041,#ECB473,#C56B25,27.87,11.15,#00785D,#00A39F,#007B6E,22.19,9.34
74,#8E8C1D,#E7AE42,#938723,29.69,6.24,#9B4266,#81447C,#813153,19.18,8.45
75,#D1465A,#EB662E,#D56769,37.13,14.18,#776A00,#837444,#796B00,26.9,9.17
76,#B26827,#451400,#CF6627,39.43,14.28,#AD8830,#E3DE72,#9C892C,33.42,8.68
77,#00823A,#006F0F,#005E22,36.91,14.41,#CA3C64,#7F0035,#C01250,23.86,10.18
