talker_id,base_voice,voice_freq,pitch_ratio
T01,us1,15000,0.85
T02,us1,15500,0.95
T03,us1,16000,1.0
T04,us1,16000,1.1
T05,us1,16500,1.05
T06,us1,17000,1.15
T07,us2,15000,0.88
T08,us2,16000,1.0
T09,us2,17000,1.12
T10,us3,15500,0.92
T11,us3,16500,1.05
T12,us3,17000,0.85
