trial,target,H,L,H_count,L_count,talker,target_file,H_file,L_file
64,n,b,z,3,7,T12,T12_ana.wav,T12_aba.wav,T12_aza.wav
65,d,theta,eth,3,33,T03,T03_ada.wav,T03_athetaa.wav,T03_aetha.wav
66,p,d,k,1,207,T04,T04_apa.wav,T04_ada.wav,T04_aka.wav
67,d,b,zh,12,39,T04,T04_ada.wav,T04_aba.wav,T04_azha.wav
68,theta,m,s,1,45,T05,T05_athetaa.wav,T05_ama.wav,T05_asa.wav
69,p,v,t,1,91,T12,T12_apa.wav,T12_ava.wav,T12_ata.wav
70,m,z,s,1,4,T04,T04_ama.wav,T04_aza.wav,T04_asa.wav
71,v,m,d,7,81,T12,T12_ava.wav,T12_ama.wav,T12_ada.wav
72,f,sh,p,1,27,T01,T01_afa.wav,T01_asha.wav,T01_apa.wav
73,b,n,v,4,81,T05,T05_aba.wav,T05_ana.wav,T05_ava.wav
74,eth,s,z,1,255,T06,T06_aetha.wav,T06_asa.wav,T06_aza.wav
75,theta,d,f,4,260,T12,T12_athetaa.wav,T12_ada.wav,T12_afa.wav
76,zh,b,z,1,451,T03,T03_azha.wav,T03_aba.wav,T03_aza.wav
77,z,s,v,1,48,T04,T04_aza.wav,T04_asa.wav,T04_ava.wav
78,v,s,z,2,88,T02,T02_ava.wav,T02_asa.wav,T02_aza.wav
79,v,m,d,7,81,T01,T01_ava.wav,T01_ama.wav,T01_ada.wav
80,t,z,k,1,97,T10,T10_ata.wav,T10_aza.wav,T10_aka.wav
