trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file,thisN,thisTrialN,thisRepN,ResponseBox.keys,ResponseBox.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,inner.thisRepN,inner.thisTrialN,inner.thisN,inner.thisIndex,thisRow.t,notes,piloting,studyintro.started,intro.started,confirm.started,studyintro.stopped,confirm.keys,confirm.rt,confirm.duration,practice_intro.started,prac_intro.started,key_resp_2.started,practice_intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,study_stage.started,Fix.started,stim1.started,Fix.stopped,stim1.stopped,stim2.started,stim2.stopped,audi1.started,audi1.stopped,audi2.started,audi2.stopped,study_stage.stopped,probe.started,Fixation.started,Fixation.stopped,targetV.started,targetA.started,targetA.stopped,targetV.stopped,probe.stopped,ResponseBox.duration,condition,TargetA,TargetC,inner.ResponseBox.keys,inner.ResponseBox.rt,feedback.started,answer.started,feedback.stopped,Acc,answer.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,8,0,8,n,1.1113881000201218,0,0,0,4,8,0,8,0,29.230221899983007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2202086999896,29.230221899983007,29.53054019997944,29.53054019997944,29.530414066659674,30.41365649999352,30.530582499981392,31.63139070000034,no_response,4,stimuli/T01_azha.wav,#4674BE,n,1.1113881000201218,31.63151609999477,31.672513600002276,32.64730379998218,1,,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,0,0,0,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
2,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,theta,d,s,4,45,T08,T09,T01,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T01_asa.wav,z,s,zh,1,242,T12,T08,T07,stimuli/T12_aza.wav,stimuli/T08_asa.wav,stimuli/T07_azha.wav,0,0,0,n,0.24547729999176227,0,1,1,1,0,0,0,0,36.833548800001154,,,,,,,,,,,,,,,,,32.74270410000463,32.7449312999961,32.93066399998497,33.0473595999938,33.93035619999864,33.94739149999805,34.94718160000048,34.93084646665763,35.84763979999116,35.9467985666745,36.833548800001154,36.81369849998737,36.83196959999623,36.946569199993974,37.247112699988065,37.247112699988065,37.246896166649336,38.12998239998706,38.24700869998196,38.463897699984955,no_response,5,stimuli/T07_azha.wav,#DE606F,n,0.24547729999176227,38.46401989998412,38.50782509997953,39.48064439999871,1,,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
2,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,theta,d,s,4,45,T08,T09,T01,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T01_asa.wav,z,s,zh,1,242,T12,T08,T07,stimuli/T12_aza.wav,stimuli/T08_asa.wav,stimuli/T07_azha.wav,1,0,1,n,0.27603600002476014,0,1,1,1,1,0,1,0,39.52339950000169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.52084779998404,39.52339950000169,39.83045189999393,39.76406289997976,39.76397166666381,40.5801572999917,40.76354469999205,41.03145469998708,no_response,10,stimuli/T09_ada.wav,#0A986E,n,0.27603600002476014,41.03172299999278,41.0709085999988,42.046838399983244,1,,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
2,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,theta,d,s,4,45,T08,T09,T01,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T01_asa.wav,z,s,zh,1,242,T12,T08,T07,stimuli/T12_aza.wav,stimuli/T08_asa.wav,stimuli/T07_azha.wav,2,0,2,y,0.5673148000205401,0,1,1,1,2,0,2,0,42.06342749999021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0577978999936,42.06342749999021,42.36392529998557,42.34695279999869,42.34766716664696,43.24684740000521,43.34713029998238,43.92625869999756,no_response,1,stimuli/T12_aza.wav,#DE606F,y,0.5673148000205401,43.92635850000079,43.92866909998702,44.91391159998602,1,44.929936200001976,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
2,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,theta,d,s,4,45,T08,T09,T01,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T01_asa.wav,z,s,zh,1,242,T12,T08,T07,stimuli/T12_aza.wav,stimuli/T08_asa.wav,stimuli/T07_azha.wav,3,0,3,n,0.47687509999377653,0,1,1,1,3,0,3,0,44.929936200001976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.92272020000382,44.929936200001976,45.23047249999945,45.23047249999945,45.230004266665006,46.11310210000374,46.23039109999081,46.69721409998601,no_response,15,stimuli/T07_azha.wav,#EE8663,n,0.47687509999377653,46.69736719998764,46.74031679998734,47.71448309998959,1,,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
2,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,theta,d,s,4,45,T08,T09,T01,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T01_asa.wav,z,s,zh,1,242,T12,T08,T07,stimuli/T12_aza.wav,stimuli/T08_asa.wav,stimuli/T07_azha.wav,4,0,4,y,0.6545698999834713,0,1,1,1,4,0,4,0,47.72967390000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.723931599990465,47.72967390000122,48.03028589999303,47.99679459998151,47.99674766665363,48.81317589999526,48.99702640000032,49.64869619999081,no_response,2,stimuli/T09_ada.wav,#679753,y,0.6545698999834713,49.65194129999145,49.680348399997456,50.66362599999411,0,,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
2,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,theta,d,s,4,45,T08,T09,T01,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T01_asa.wav,z,s,zh,1,242,T12,T08,T07,stimuli/T12_aza.wav,stimuli/T08_asa.wav,stimuli/T07_azha.wav,5,0,5,y,0.6359678999870084,0,1,1,1,5,0,5,0,50.68012770000496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.675369599979604,50.68012770000496,50.980362300004344,50.963349800003925,50.9633381666538,51.846551399998134,51.962751699989894,52.59841000000597,no_response,5,stimuli/T07_azha.wav,#DE606F,y,0.6359678999870084,52.59853759998805,52.64750419999473,53.614196499984246,0,,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
2,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,theta,d,s,4,45,T08,T09,T01,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T01_asa.wav,z,s,zh,1,242,T12,T08,T07,stimuli/T12_aza.wav,stimuli/T08_asa.wav,stimuli/T07_azha.wav,6,0,6,None,,0,1,1,1,6,0,6,0,53.62973919999786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.624753599986434,53.62973919999786,53.92950090000522,53.91311369999312,53.91321646667008,54.81283159999293,54.913258799992036,56.89784069999587,no_response,13,stimuli/T12_aza.wav,#A94666,None,,56.89800039998954,56.91350299998885,57.89680909999879,0,57.91278829998919,000379,001,2026-04-30_07h05.41.671,VAWM,,2026.1.3,59.89006579130869,2026-04-30 07h05.45.215047 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,,,,,7,0,7,0,57.91278829998919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.90650389998336,57.91278829998919,58.213579500006745,58.213579500006745,58.21310196665969,59.030143099982524,59.213131199998315,61.19661909999559,no_response,2,stimuli/T09_ada.wav,#679753,None,,61.19692930000019,61.21293300000252,,,,,,,,,,,,
