trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T02,T02,T02,stimuli/T02_ava.wav,stimuli/T02_ana.wav,stimuli/T02_ada.wav
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T12,T12,T12,stimuli/T12_ada.wav,stimuli/T12_aba.wav,stimuli/T12_azha.wav
3,#A77FC9,#FFC5FF,#5760C9,30.25,27.21,53.26,#0079B7,#007CED,#00366B,33.84,28.18,44.56,v,m,eth,7,379,T04,T04,T04,stimuli/T04_ava.wav,stimuli/T04_ama.wav,stimuli/T04_aetha.wav,n,g,d,2,5,T04,T04,T04,stimuli/T04_ana.wav,stimuli/T04_aga.wav,stimuli/T04_ada.wav
4,#008484,#0091DC,#007D68,47.54,20.63,66.22,#3D62C6,#925A82,#4A5496,44.24,20.08,29.56,sh,m,theta,1,9,T04,T04,T04,stimuli/T04_asha.wav,stimuli/T04_ama.wav,stimuli/T04_athetaa.wav,theta,d,p,4,35,T04,T04,T04,stimuli/T04_athetaa.wav,stimuli/T04_ada.wav,stimuli/T04_apa.wav
5,#8055B3,#FF98E0,#004DC9,41.37,28.99,67.44,#009E85,#00D882,#007C7A,46.5,23.63,55.75,t,eth,p,1,109,T07,T07,T07,stimuli/T07_ata.wav,stimuli/T07_aetha.wav,stimuli/T07_apa.wav,z,s,zh,1,242,T07,T07,T07,stimuli/T07_aza.wav,stimuli/T07_asa.wav,stimuli/T07_azha.wav
