sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
t,p,0,109,T05_t3.wav,T05_p3.wav,T05,us1,confusable
t,p,0,109,T06_t3.wav,T06_p3.wav,T06,us1,confusable
t,p,0,109,T07_t3.wav,T07_p3.wav,T07,us2,confusable
t,p,0,109,T08_t3.wav,T08_p3.wav,T08,us2,confusable
t,p,0,109,T09_t3.wav,T09_p3.wav,T09,us2,confusable
t,p,0,109,T10_t3.wav,T10_p3.wav,T10,us3,confusable
t,p,0,109,T11_t3.wav,T11_p3.wav,T11,us3,confusable
t,p,0,109,T12_t3.wav,T12_p3.wav,T12,us3,confusable
t,k,0,97,T01_t3.wav,T01_k3.wav,T01,us1,confusable
t,k,0,97,T02_t3.wav,T02_k3.wav,T02,us1,confusable
t,k,0,97,T03_t3.wav,T03_k3.wav,T03,us1,confusable
t,k,0,97,T04_t3.wav,T04_k3.wav,T04,us1,confusable
t,k,0,97,T05_t3.wav,T05_k3.wav,T05,us1,confusable
t,k,0,97,T06_t3.wav,T06_k3.wav,T06,us1,confusable
t,k,0,97,T07_t3.wav,T07_k3.wav,T07,us2,confusable
t,k,0,97,T08_t3.wav,T08_k3.wav,T08,us2,confusable
t,k,0,97,T09_t3.wav,T09_k3.wav,T09,us2,confusable
t,k,0,97,T10_t3.wav,T10_k3.wav,T10,us3,confusable
t,k,0,97,T11_t3.wav,T11_k3.wav,T11,us3,confusable
t,k,0,97,T12_t3.wav,T12_k3.wav,T12,us3,confusable
t,theta,0,9,T01_t3.wav,T01_theta3.wav,T01,us1,confusable
t,theta,0,9,T02_t3.wav,T02_theta3.wav,T02,us1,confusable
t,theta,0,9,T03_t3.wav,T03_theta3.wav,T03,us1,confusable
t,theta,0,9,T04_t3.wav,T04_theta3.wav,T04,us1,confusable
t,theta,0,9,T05_t3.wav,T05_theta3.wav,T05,us1,confusable
t,theta,0,9,T06_t3.wav,T06_theta3.wav,T06,us1,confusable
t,theta,0,9,T07_t3.wav,T07_theta3.wav,T07,us2,confusable
