trial,condition,Response,RT,chanel,Acc
T,15,3,0.7663037,nonTT,1
T,1,3,0.9155598,TT,0
T,11,3,0.9143717,nonTT,1
T,17,3,0.822009,nonTT,1
T,4,3,0.9671388,nonTT,1
T,13,4,1.2497102,nonTT,0
T,7,3,0.8358991,nonTT,1
T,0,4,0.9507705,TT,1
T,1,3,0.9167342,TT,0
T,2,3,0.9848925,nonTT,1
T,11,4,1.1504255,nonTT,0
T,15,3,1.6656075,nonTT,1
T,1,3,0.7183556,TT,0
T,0,4,1.1189752,TT,1
T,3,3,0.9306015,nonTT,1
T,17,3,0.8332861,nonTT,1
T,5,3,0.834548,nonTT,1
T,6,3,0.6652336,nonTT,1
T,13,3,0.9997546,nonTT,1
T,15,3,1.165231,nonTT,1
T,0,4,1.1168289,TT,1
T,3,3,0.8491787,nonTT,1
T,1,4,1.0344179,TT,1
T,17,3,0.6007608,nonTT,1
T,12,3,1.5657315,nonTT,1
T,7,3,0.8833782,nonTT,1
T,16,3,1.0016819,nonTT,1
T,10,3,0.7841269,nonTT,1
T,5,3,1.2682475,nonTT,1
T,5,3,1.9164758,nonTT,1
T,2,3,0.8845623,nonTT,1
T,0,4,1.1843525,TT,1
T,0,4,0.917984,TT,1
T,10,3,0.4969636,nonTT,1
T,17,3,0.9660365,nonTT,1
T,7,3,1.2397617,nonTT,1
T,12,3,0.8489857,nonTT,1
T,11,3,1.2019683,nonTT,1
T,1,3,1.7349125,TT,0
T,3,3,0.9197392,nonTT,1
T,1,3,1.5173462,TT,0
T,4,3,1.7513041,nonTT,1
T,9,3,1.3157908,nonTT,1
T,12,4,1.0994265,nonTT,0
T,8,3,0.7500337,nonTT,1
T,7,3,1.6486912,nonTT,1
T,16,3,1.1670192,nonTT,1
T,6,4,1.0679183,nonTT,0
T,9,3,0.7821541,nonTT,1
T,0,3,0.7839419,TT,0
T,17,3,1.033088,nonTT,1
T,12,4,1.0842792,nonTT,0
T,0,4,0.8180828,TT,1
T,5,3,0.7851873,nonTT,1
T,16,3,0.6341318,nonTT,1
T,2,3,0.8329495,nonTT,1
T,4,4,1.2836536,nonTT,0
T,17,3,0.8184945,nonTT,1
T,1,4,0.9998635,TT,1
T,12,3,1.0332742,nonTT,1
T,0,4,1.1841267,TT,1
T,9,3,0.6327713,nonTT,1
T,6,3,0.919063,nonTT,1
T,3,4,1.1488839,nonTT,0
T,14,3,1.1986488,nonTT,1
T,5,4,1.4833071,nonTT,0
T,11,3,0.7846451,nonTT,1
T,6,3,0.8590849,nonTT,1
T,8,3,0.7505147,nonTT,1
T,13,3,1.0335171,nonTT,1
T,0,4,1.2002269,TT,1
T,3,3,1.3825998,nonTT,1
T,9,3,0.8162833,nonTT,1
T,10,3,0.4824871,nonTT,1
T,8,3,0.5164756,nonTT,1
T,2,3,0.7983975,nonTT,1
T,13,3,0.7334284,nonTT,1
T,7,3,0.8329587,nonTT,1
T,5,3,0.7506877,nonTT,1
T,0,4,0.8306979,TT,1
T,11,3,0.8334704,nonTT,1
T,0,4,1.3999266,TT,1
T,3,3,1.1311406,nonTT,1
T,9,3,1.0500903,nonTT,1
T,1,4,1.0329762,TT,1
T,7,4,1.166993,nonTT,0
T,12,3,0.9503,nonTT,1
T,9,3,1.183649,nonTT,1
T,5,3,1.701148,nonTT,1
T,11,3,0.9355598,nonTT,1
T,1,3,0.9166836,TT,0
T,9,4,0.8826029,nonTT,0
T,9,3,0.0359773,nonTT,1
T,0,4,1.2504606,TT,1
T,3,3,0.8003877,nonTT,1
T,11,3,0.5977329,nonTT,1
T,12,4,1.016393,nonTT,0
T,6,3,0.5186237,nonTT,1
T,4,3,0.9176829,nonTT,1
T,1,4,1.8015746,TT,1
T,3,3,1.0320326,nonTT,1
T,0,3,1.448769,TT,0
T,0,4,1.0533491,TT,1
T,14,3,0.783928,nonTT,1
T,7,3,0.7326112,nonTT,1
T,4,4,1.8656924,nonTT,0
T,14,3,0.6850896,nonTT,1
T,12,3,1.0510022,nonTT,1
T,16,3,0.8839119,nonTT,1
T,2,3,0.7199923,nonTT,1
T,16,3,0.9991552,nonTT,1
T,0,4,1.1346013,TT,1
T,9,3,0.7332577,nonTT,1
T,4,3,1.1810113,nonTT,1
T,7,3,1.4346275,nonTT,1
T,1,4,1.4505576,TT,1
T,12,4,1.5498621,nonTT,0
T,8,3,0.8835399,nonTT,1
T,5,4,1.4170002,nonTT,0
T,17,3,1.0508076,nonTT,1
T,0,4,1.1680931,TT,1
T,7,3,0.8151654,nonTT,1
T,0,4,1.1525156,TT,1
T,12,3,0.8016507,nonTT,1
T,11,3,1.1001559,nonTT,1
T,3,3,0.9506246,nonTT,1
T,17,3,1.8866181,nonTT,1
T,17,3,0.8168067,nonTT,1
T,3,3,0.7502039,nonTT,1
T,0,3,0.8348097,TT,0
T,15,4,1.4170224,nonTT,0
T,0,3,0.9326985,TT,0
T,7,3,0.9667575,nonTT,1
T,12,3,0.8659595,nonTT,1
T,10,3,0.7677265,nonTT,1
T,5,3,1.0510093,nonTT,1
T,6,3,0.4710801,nonTT,1
T,12,3,0.664843,nonTT,1
T,5,4,1.5822623,nonTT,0
T,0,3,0.732682,TT,0
T,16,3,0.8849133,nonTT,1
T,0,3,1.7685269,TT,0
T,14,3,0.7489831,nonTT,1
T,3,3,1.2335887,nonTT,1
T,17,3,0.8517156,nonTT,1
T,3,3,1.0675923,nonTT,1
T,0,3,0.850373,TT,0
T,12,3,0.7834824,nonTT,1
T,7,3,0.8206858,nonTT,1
T,4,3,1.8503494,nonTT,1
T,11,3,0.9826736,nonTT,1
T,0,3,1.4324005,TT,0
T,17,3,1.5654975,nonTT,1
T,10,4,1.0812972,nonTT,0
T,1,4,0.9164281,TT,1
T,15,3,0.834103,nonTT,1
T,11,3,0.8685674,nonTT,1
T,3,3,0.8351404,nonTT,1
T,0,4,0.933415,TT,1
T,4,3,0.8500525,nonTT,1
T,7,3,0.8826361,nonTT,1
T,14,3,0.8676933,nonTT,1
T,12,3,0.8002455,nonTT,1
T,8,4,1.4857067,nonTT,0
T,7,3,1.0184367,nonTT,1
T,17,3,0.8014103,nonTT,1
T,0,3,1.4994737,TT,0
T,2,3,1.0002911,nonTT,1
T,16,4,0.9829712,nonTT,0
T,0,3,1.2688873,TT,0
T,12,3,0.9167297,nonTT,1
T,4,3,0.8781477,nonTT,1
T,4,3,0.6002008,nonTT,1
T,16,3,0.8335856,nonTT,1
T,1,3,1.0492385,TT,0
T,0,3,0.8861105,TT,0
T,7,3,0.8359725,nonTT,1
T,13,3,0.7160722,nonTT,1
T,15,3,0.7344389,nonTT,1
T,11,3,0.8651875,nonTT,1
T,3,3,0.9011867,nonTT,1
T,3,3,1.134653,nonTT,1
T,1,3,0.6993341,TT,0
T,14,3,0.7673357,nonTT,1
T,12,3,0.7348292,nonTT,1
T,1,4,1.4837863,TT,1
T,7,3,0.7175584,nonTT,1
T,17,3,0.768417,nonTT,1
T,16,3,1.1007188,nonTT,1
T,5,4,1.1695124,nonTT,0
T,9,3,1.1521705,nonTT,1
T,13,4,0.7840268,nonTT,0
T,0,3,0.966307,TT,0
T,3,3,0.6523088,nonTT,1
T,9,3,0.652331,nonTT,1
T,8,3,0.6827616,nonTT,1
T,1,3,1.0168092,TT,0
T,6,3,0.7000483,nonTT,1
T,5,3,1.2520771,nonTT,1
T,17,3,0.6010254,nonTT,1
T,17,3,0.6158187,nonTT,1
T,2,3,1.1342753,nonTT,1
T,4,3,0.8036474,nonTT,1
T,1,3,0.8649062,TT,0
