trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file,thisN,thisTrialN,thisRepN,Response,RT,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,inner.thisRepN,inner.thisTrialN,inner.thisN,inner.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,SFT1.thisRepN,SFT1.thisTrialN,SFT1.thisN,SFT1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,SFT_2.thisRepN,SFT_2.thisTrialN,SFT_2.thisN,SFT_2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,SFT_3.thisRepN,SFT_3.thisTrialN,SFT_3.thisN,SFT_3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,SFT_4.thisRepN,SFT_4.thisTrialN,SFT_4.thisN,SFT_4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,SFT_5.thisRepN,SFT_5.thisTrialN,SFT_5.thisN,SFT_5.thisIndex,thisRow.t,notes,piloting,studyintro.started,intro.started,confirm.started,studyintro.stopped,confirm.keys,confirm.rt,confirm.duration,practice_intro.started,prac_intro.started,key_resp_2.started,practice_intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,study_stage.started,Fix.started,Fix.stopped,stim1.started,stim2.started,stim1.stopped,stim2.stopped,audi1.started,audi1.stopped,audi2.started,audi2.stopped,study_stage.stopped,probe.started,Fixation.started,Fixation.stopped,targetV.started,targetA.started,targetA.stopped,targetV.stopped,probe.stopped,ResponseBox.duration,condition,TargetA,TargetC,Probe,inner.Response,feedback.started,answer.started,answer.stopped,feedback.stopped,Acc,col_type,aud_type,inner.RT,SFT_start.started,text.started,key_resp_3.started,SFT_start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,SFT1.Response,SFT1.RT,rest.started,timeout.started,breakend.started,rest.stopped,breakend.keys,breakend.rt,breakend.duration,SFT_2.Response,SFT_2.RT,SFT_3.Response,SFT_3.RT,SFT_4.Response,SFT_4.RT,SFT_5.Response,SFT_5.RT,End.started,EndExp.started,callExp.started,End.stopped,callExp.keys,callExp.rt,callExp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,8,0,8,None,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.29931090000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.28569040000002,117.29931090000002,117.59927949999997,117.61590260000003,117.61594616666663,118.5331026,118.61665519999997,119.80094240000005,no_response,2,stimuli/T02_athetaa.wav,#008470,8,None,119.80100059999995,120.58508059999997,121.60254280000004,121.56937470000003,0,color1_target,audio1_H_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,0,0,0,3,0.833,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7225072,,,,,,,,,,,,,,,,,121.5890875,121.60254280000004,121.9027754,121.91937429999996,122.90346729999999,122.92012669999997,123.90435090000005,123.90443516666666,124.8220685,124.88872786666663,125.70597569999995,125.70601239999996,125.71621890000006,125.7225072,126.02287220000005,126.039624,126.03953886666672,126.85679400000004,127.04033140000001,127.07343270000001,no_response,9,stimuli/T07_aba.wav,#FF60A8,0,3,127.07451939999999,127.0901457,,128.07459919999997,1,color2_H,audio2_H_file,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,1,0,1,None,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.09114039999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.07759520000002,128.09114039999997,128.3916216,128.40829040000006,128.4082882666667,129.32550920000006,129.4089735,130.59313329999998,no_response,6,stimuli/T12_afa.wav,#002E70,1,None,130.5949796,131.3772699,132.37816120000002,132.36178800000005,0,color1_H,audio1_target_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,2,0,2,4,0.859,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.37816120000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.36432909999996,132.37816120000002,132.67842270000006,132.6948251,132.69508936666674,133.6123602,133.69566069999996,133.74581650000005,no_response,12,stimuli/T12_afa.wav,#0097EF,2,4,133.74589809999998,133.76255460000004,,134.7469681,0,color1_L,audio1_target_file,0.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,3,0,3,3,0.922,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.78024440000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7607921,134.78024440000002,135.0800891,135.0800891,135.08027386666666,135.9810933,136.08108360000006,136.19787770000005,no_response,17,stimuli/T07_azha.wav,#944D31,3,3,136.19894220000003,136.21456750000004,,137.19898469999998,1,color2_L,audio2_L_file,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,4,0,4,None,,0,1,1,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.2152648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.21061970000005,137.2152648,137.51534270000002,137.53214609999998,137.5320093666667,138.4496395,138.5330285,139.717629,no_response,16,stimuli/T12_athetaa.wav,#0097EF,4,None,139.71869100000004,140.51809000000003,141.51887050000005,141.50232860000006,0,color1_L,audio1_L_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,5,0,5,4,1.014,0,1,1,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.51887050000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.50492169999995,141.51887050000005,141.81938649999995,141.83591030000002,141.83605316666663,142.7532483,142.8363925,143.03706339999997,no_response,4,stimuli/T12_athetaa.wav,#0071BA,5,4,143.03712789999997,143.05351470000005,,144.03771500000005,0,color1_target,audio1_L_file,1.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,6,0,6,None,,0,1,1,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0544059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.04022129999998,144.0544059,144.3545884,144.37110199999995,144.3712550666667,145.2884355,145.37205140000003,146.556469,no_response,0,stimuli/T12_afa.wav,#0071BA,6,None,146.5565438,147.34042409999995,148.3413041,148.3247741,0,color1_target,audio1_target_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
2,#0071BA,#002E70,#0097EF,39.35,24.85,43.95,#DA5C51,#FF60A8,#944D31,42.41,25.82,59.2,f,sh,theta,1,151,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_asha.wav,stimuli/T12_athetaa.wav,d,b,zh,12,39,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_azha.wav,7,0,7,4,0.645,0,1,1,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.3413041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.3272475,148.3413041,148.641485,148.65815640000005,148.65815166666667,,,149.49234260000003,no_response,0,stimuli/T12_afa.wav,#0071BA,7,4,149.50489890000006,149.5086516,150.50984270000004,150.49313840000002,1,color1_target,audio1_target_file,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
